Asilabilir_Engel_Seviyesi,Haritalandirma,Hazne_Kapasitesi,Uygulama_Uzerinden_Kontrol,Yer_Silme_Ozelligi,Sarjli_Kullanim_Suresi,Fiyat,marka
2.0,3,3,0,0,1,16899.0,105
2.0,2,3,0,0,1,7999.0,56
2.0,3,4,0,0,1,9849.0,23
1.0,3,3,0,0,1,14149.0,79
4.0,3,0,0,0,1,36849.0,86
2.0,0,0,0,0,2,7499.0,59
2.0,2,3,0,0,1,12990.0,6
2.0,3,3,0,0,1,29999.0,79
2.0,3,3,0,0,1,19000.0,86
2.0,3,0,1,0,1,29999.0,23
2.0,0,3,0,0,3,5199.0,88
3.0,0,0,0,0,2,19999.0,79
3.0,3,3,0,0,1,47501.0,79
2.0,2,2,0,0,1,55999.0,86
2.0,0,4,0,0,3,80352.0,5
2.0,2,3,0,0,1,10999.0,8
2.0,2,3,0,0,1,12669.0,64
2.0,3,2,0,0,1,18990.0,79
2.0,3,3,0,0,1,16899.0,105
1.0,3,0,0,1,1,98441.0,0
2.0,3,3,0,0,1,12999.0,128
2.0,3,3,0,0,1,25999.0,123
4.0,3,3,0,0,1,355490.0,36
2.0,3,3,0,0,3,13177.0,123
1.0,4,3,1,0,1,29990.0,17
3.0,0,0,0,0,1,4864.0,58
2.0,2,3,0,0,1,10420.0,6
2.0,0,3,0,0,1,8295.0,40
2.0,2,0,0,0,1,12999.0,23
2.0,2,3,0,0,1,16999.0,64
4.0,0,3,0,0,1,8999.0,40
2.0,2,3,0,0,1,177999.0,45
2.0,0,1,0,0,1,13399.0,118
2.0,2,3,0,0,1,36792.0,68
2.0,2,3,0,0,1,4980.0,47
2.0,3,4,0,0,1,10490.0,118
2.0,1,3,0,0,1,4990.0,58
2.0,3,4,0,0,3,11999.0,123
2.0,4,3,0,0,1,10600.0,36
2.0,3,0,0,0,1,36889.0,86
2.0,2,4,0,0,1,122041.0,119
2.0,3,0,0,0,1,4679.0,123
2.0,2,3,0,0,1,6259.0,48
2.0,2,3,0,0,1,11695.0,119
2.0,2,3,0,0,1,5952.0,106
2.0,3,3,0,0,3,18599.0,123
4.0,3,4,0,0,1,19999.0,36
2.0,3,3,0,0,1,16699.0,123
2.0,1,4,0,0,3,9888.0,123
2.0,2,3,0,0,1,8999.0,11
4.0,3,3,0,0,1,10400.0,90
2.0,3,3,0,0,1,19879.0,123
2.0,2,3,0,0,1,9595.0,40
4.0,3,3,0,0,1,10999.0,110
2.0,0,3,0,0,3,15499.0,55
3.0,0,0,0,0,2,25150.0,79
2.0,3,4,0,0,1,21999.0,7
4.0,1,0,0,0,1,5709.0,28
4.0,0,3,0,0,1,5999.0,0
2.0,0,4,0,0,1,188731.0,126
2.0,3,3,0,0,1,20979.0,57
2.0,2,3,0,0,1,14999.0,6
2.0,2,3,0,0,1,109999.0,45
4.0,3,3,0,0,1,10176.0,36
2.0,0,0,0,1,3,12899.0,55
2.0,2,3,0,0,1,8999.0,47
3.0,3,3,0,0,1,44899.0,79
2.0,3,3,0,0,1,19999.0,64
2.0,2,3,0,0,1,8990.0,100
2.0,3,3,0,0,1,193705.0,123
3.0,4,0,0,1,1,6199.0,103
