AÅŸÄ±labilir Engel Seviyesi,Aşılabilir Engel Seviyesi,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¼Ã§ (Watt),Güç (Watt),HaritalandÄ±rma,Haritalandırma,Hazne Kapasitesi,Ses Seviyesi,Uygulama Ãœzerinden Kontrol,Uygulama Üzerinden Kontrol,Yer Silme Ã–zelliÄŸi,Yer Silme Özelliği,Ã–zellik,Ã‡alÄ±ÅŸma Modu SayÄ±sÄ±,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çalışma Modu Sayısı,Özellik,Şarjlı Kullanım Süresi,url,price
2 cm,,2 YÄ±l,,Ä°thalatÃ§Ä± Garantili,0 - 250 Watt,,Kamera (VSLAM + SLAM),,250-500 L,61 Dba - 70 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//roborock/roboroc-s5-max-robot-supurge-beyaz-p-40449299?boutiqueId=61&merchantId=635356,43.000 TL
,2 cm,,2 Yıl,,,0 - 250 Watt,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,2,Robot,,https://www.trendyol.com//kiwi/akilli-robot-supurge-islak-kuru-robot-vacuum-mop-kvc-4090-p-762926497?boutiqueId=61&merchantId=109616,5.495 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,2,Robot,,https://www.trendyol.com//roborock/vacuum-cleanner-q8-max-robot-supurge-beyaz-p-775760751?boutiqueId=620489&merchantId=968,16.519 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//simart-teknoloji/simart-katya-z-akilli-robot-supurge-p-673805588?boutiqueId=61&merchantId=790294,7.999 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/mi-s10-plus-hali-tanimali-donerek-paspas-ile-robot-vakumm-4000-pa-emis-genpa-garantili-p-769148134?boutiqueId=61&merchantId=566427,12.899 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//soultech/rb002-akilli-temizleme-robotu-vacuum-mop-p-239460415?boutiqueId=61&merchantId=877048,4.840 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//homend/alex-laser-pro-1283h-beyaz-moplu-ve-haritalamali-akilli-robot-supurge-p-277114312?boutiqueId=61&merchantId=230835,7.299 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,499-250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//tefal/rg7675-x-plorer-serie-75-mop-ozellikli-akilli-robot-supurge-evcil-hayvan-dostu-p-129896203?boutiqueId=61&merchantId=433342,8.626 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//roborock/s7-robot-supurge-ve-paspas-beyaz-p-117349144?boutiqueId=61&merchantId=887420,47.500 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//yeedi/vac-2-pro-beyaz-renk-akilli-robot-supurge-ve-paspas-resmi-distributor-garantili-p-316565799?boutiqueId=61&merchantId=211217,"5.373,52 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/7000-islak-kuru-robot-supurge-5000-pa-titresimli-mop-sert-zemin-ve-haliya-uygun-xu7000-02-p-682357048?boutiqueId=61&merchantId=4513,18.999 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//dreame/bot-d10-plus-akilli-robot-supurge-p-349171744?boutiqueId=61&merchantId=104871,11.349 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//samsung/vr3mb77312k-tr-akilli-robot-supurge-abanoz-siyahi-p-696943025?boutiqueId=61&merchantId=106248,9.249 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//philips/3000-serisi-islak-kuru-moplu-siyah-robot-supurge-4000-pa-sert-zemin-ve-haliya-uygun-p-704503109?boutiqueId=61&merchantId=514600,11.999 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lydsto/g1-akilli-robot-supurge-ve-paspas-5-lt-airfryer-hediyeli-p-778375249?boutiqueId=61&merchantId=217399,6.999 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,11 Dba - 20 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//dreame/robot-supurge-bot-d9-max-dd9mbtx-uyumlu-p-205138417?boutiqueId=61&merchantId=514600,8.899 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//grundig/vcr-6230-robot-supurge-p-456637941?boutiqueId=61&merchantId=727277,7.920 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//arcelik/imperium-robo-rs-3221-robot-supurge-p-472915389?boutiqueId=61&merchantId=329523,7.799 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,81 Dba - 90 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//roborock/s8-plus-robot-beyaz-supurge-p-752645244?boutiqueId=61&merchantId=106895,28.519 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//roborock/s7-max-ultra-p-761305675?boutiqueId=61&merchantId=413566,37.805 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//homend/alex-laser-1281h-moplu-ve-haritalamali-akilli-robot-supurge-2023-model-beyaz-p-148999728?boutiqueId=61&merchantId=727277,7.720 TL
