AÅŸÄ±labilir Engel Seviyesi,Aşılabilir Engel Seviyesi,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¼Ã§ (Watt),Güç (Watt),HaritalandÄ±rma,Haritalandırma,Hazne Kapasitesi,Ses Seviyesi,Uygulama Ãœzerinden Kontrol,Uygulama Üzerinden Kontrol,Yer Silme Ã–zelliÄŸi,Yer Silme Özelliği,Ã–zellik,Ã‡alÄ±ÅŸma Modu SayÄ±sÄ±,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çalışma Modu Sayısı,Özellik,Şarjlı Kullanım Süresi,url,price
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Sulu,120 dk ve üzeri,https://www.trendyol.com//philips/aqua-istasyonlu-anti-alerjik-islak-kuru-temizlik-homerun-otomatik-bosaltma-robot-supurge-p-779068851?boutiqueId=61&merchantId=732994,40.000 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/vp-yeni-seri-0-3-lt-7000-serisi-beyaz-islak-kuru-robot-supurge-5000-pa-titresimli-mop-2-paspas-p-772207511?boutiqueId=61&merchantId=614180,"26.999,99 TL"
,2 cm,,2 Yıl,İthalatçı Garantili,,700-1000 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,120 dk ve üzeri,https://www.trendyol.com//viomi/viomi-v5-p-744793929?boutiqueId=61&merchantId=431905,6.650 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Yok,,,,3+,Robot,,https://www.trendyol.com//hoover/38383006-hg550dp011-robot-supurge-p-754552192?boutiqueId=61&merchantId=867384,14.169 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//beko/robot-supurge-p-297002721?boutiqueId=61&merchantId=197550,18.599 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//farg/myrob-epa-1209-mop-ozellikli-ve-kumandali-akilli-robot-supurge-p-356925070?boutiqueId=61&merchantId=419199,7.550 TL
2 cm,,2 YÄ±l,,Ä°thalatÃ§Ä± Garantili,0 - 250 Watt,,Jiroskop (SLAM /ESLAM),,250-500 L,71 Dba - 80 Dba,Yok,,Var,,Robot,3+,60 - 120 dk,,,,https://www.trendyol.com//viomi/se-vacuum-cleaner-lazer-sensor-2in1-robot-supurge-ve-paspas-p-57662118?boutiqueId=61&merchantId=107277,8.999 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//xiaomi/mi-mop-2-pro-siyah-p-659754146?boutiqueId=61&merchantId=198075,9.725 TL
,4+ cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),0-250 L,31 Dba - 40 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//karcher/rcv-3-icin-aksesuar-seti-p-765320129?boutiqueId=61&merchantId=138689,508 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Yok,0-250 L,51 Dba - 60 Dba,,Yok,,Yok,,,,,Robot,,https://www.trendyol.com//ebrtech/profesyonel-otomatik-cam-temizleme-robotu-p-101785917?boutiqueId=61&merchantId=112396,"6.400,09 TL"
,1 cm,,2 Yıl,İthalatçı Garantili,,2000 W ve altı,,Lazer (LIDAR + SLAM),0-250 L,31 Dba - 40 Dba,,Var,,Yok,,,,,,,https://www.trendyol.com//ecovacs/winbot-w1-pro-pencere-temizleme-robotu-akilli-temizlik-p-767065614?boutiqueId=61&merchantId=122175,"30.559,90 TL"
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Kamera (VSLAM + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-vacuum-robot-supurge-mop-2-p-378790064?boutiqueId=61&merchantId=601117,9.799 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Kamera (VSLAM + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//arcelik/imperium-robo-3-0-robot-supurge-premium-wi-fi-baglantisi-p-773314206?boutiqueId=61&merchantId=409995,"34.699,99 TL"
,2 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2200 Watt,,Jiroskop (SLAM /ESLAM),250-500 L,31 Dba - 40 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiamen/xiaomi-mi-robot-vacuum-mop-kablosuz-akilli-supurge-p-101187673?boutiqueId=61&merchantId=455417,"11.984,10 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,71 Dba - 80 Dba,,Var,,Yok,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//electrolux/vp-pure-i92-pi92-6dgm-ucgen-tasarimli-robot-supurge-3d-goruslu-120-dk-calisma-super-hizli-sarj-p-770432765?boutiqueId=61&merchantId=455417,"11.552,11 TL"
2 cm,,2 YÄ±l,,Ä°thalatÃ§Ä± Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,61 Dba - 70 Dba,Var,,Var,,Robot,3+,60 - 120 dk,,,,https://www.trendyol.com//xiaomi/mi-robot-supurge-mop-2-pro-beyaz-p-345009770?boutiqueId=61&merchantId=514600,10.299 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,31 Dba - 40 Dba,,Yok,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//viomi/alpha-3-vacuum-cleaner-beyaz-resmi-distributor-garantili-p-722981639?boutiqueId=61&merchantId=497123,19.499 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/homerun-3000-serisi-islak-kuru-mop-ozelligi-ultra-yuksek-emis-gucu-premium-robot-supurge-p-786194533?boutiqueId=61&merchantId=825207,36.999 TL
,2 cm,,4 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,,Toz Torbalı,,https://www.trendyol.com//wero/m8-max-robot-supurge-akilli-toz-toplama-istasyonu-paspaslama-p-194939350?boutiqueId=61&merchantId=473924,11.490 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2200 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//viomi/v5-robot-supurge-1-yil-garanti-hediye-p-650130757?boutiqueId=61&merchantId=197550,12.899 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,,120 dk ve üzeri,https://www.trendyol.com//xiaomi/yeni-nesil-lds-lazer-navigasyon-sonik-titresimle-olaganustu-temizlik-mi-temizlik-robotu-2-pro-p-785469596?boutiqueId=61&merchantId=881452,16.799 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-pro-akilli-robot-supurge-beyaz-mi-band-6-akilli-bileklik-p-640256382?boutiqueId=61&merchantId=197550,17.599 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-pro-akilli-robot-supurge-beyaz-mi-band-6-akilli-bileklik-p-640255361?boutiqueId=61&merchantId=197550,17.599 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-pro-akilli-robot-supurge-beyaz-mi-band-6-akilli-bileklik-p-640254281?boutiqueId=61&merchantId=197550,17.899 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,500-1500 Watt,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Yok,,,,,Robot,,https://www.trendyol.com//mijia/hutt-w66-cam-temizleme-robotu-su-hazneli-p-81286206?boutiqueId=61&merchantId=231861,24.995 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,51 Dba - 60 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//lydsto/g1-akilli-robot-supurge-ve-paspas-siyah-turkiye-garantili-p-270894578?boutiqueId=61&merchantId=217399,5.899 TL
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,61 Dba - 70 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//lydsto/r1-pro-cop-istasyonlu-akilli-robot-supurge-siyah-turkiye-garantili-p-303043365?boutiqueId=61&merchantId=217399,12.999 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//soultech/rb002-akilli-temizleme-robotu-vacuum-mop-p-647362556?boutiqueId=61&merchantId=459558,7.500 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Sulu,120 dk ve üzeri,https://www.trendyol.com//philips/aqua-anti-alerji-islak-kuru-temizlik-homerun-7000-otomatik-bosaltma-premium-robot-supurge-p-779409796?boutiqueId=61&merchantId=732994,35.000 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/wi-fi-android-apple-uyumlu-otomatik-homerun-ultra-yuksek-emis-gucu-3100-seri-kablosuz-robot-supurge-p-785310880?boutiqueId=61&merchantId=881452,29.899 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2001 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/homerun-ultra-yuksek-emis-gucu-3100-serisi-otomatik-bosaltma-sistemi-istasyonlu-robot-supurge-beyaz-p-785310597?boutiqueId=61&merchantId=881452,29.899 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//philips/homerun-ultra-yuksek-emis-gucu-3000-serisi-yeni-aqua-wi-fi-akilli-kontrol-robot-supurge-p-785308120?boutiqueId=61&merchantId=881452,21.799 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//mamibot/exvac900s-yuksek-performansli-haritalamali-siyah-akilli-robot-supurge-ve-bosaltma-unitesi-p-777731517?boutiqueId=61&merchantId=886789,26.999 TL
,1 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2200 Watt,,Yok,0-250 L,31 Dba - 40 Dba,,Yok,,Yok,,,,1,Robot,,https://www.trendyol.com//ttec/plus-2rc01-robi-promaster-otomatik-toz-bosaltma-sistemli-akilli-robot-supurge-ve-paspas-p-777652224?boutiqueId=61&merchantId=201140,"12.167,10 TL"
,2 cm,,3 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,41 Dba - 50 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//ttec/navi-laseriq-teknolojili-ve-japon-fircasiz-motorlu-akilli-robot-supurge-ve-paspas-p-366698545?boutiqueId=61&merchantId=107419,"20.499,90 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),500-1000 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//smartmi/vortexwave-robot-supurge-genpa-teknik-servis-garantili-p-366711154?boutiqueId=61&merchantId=877454,10.500 TL
,1 cm,,2 Yıl,,,500-1500 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,,,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-pro-akilli-siyah-robot-supurge-p-260740177?boutiqueId=61&merchantId=564671,12.999 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/evrekala-shop-robot-supurge-philips-ekstra-guclu-otomatik-siler-ve-supurur-yetkili-satici-evrekala-p-772231224?boutiqueId=61&merchantId=495689,"24.629,90 TL"
2 cm,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,0 - 250 Watt,,Lazer (LIDAR + SLAM),,250-500 L,51 Dba - 60 Dba,Var,,Var,,Robot,3+,120 dk ve Ã¼zeri,,,,https://www.trendyol.com//lydsto/r1-d-akilli-robot-supurge-ve-paspas-siyah-turkiye-garantili-p-269328097?boutiqueId=61&merchantId=217399,9.499 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,71 Dba - 80 Dba,,Var,,Var,,,,,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-2-pro-p-300123473?boutiqueId=61&merchantId=564671,12.999 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiaomi/mop-pro-siyah-akilli-robot-supurge-mi-band-6-akilli-bileklik-adim-sayar-p-136664885?boutiqueId=61&merchantId=197550,20.599 TL
,1 cm,,2 Yıl,İthalatçı Garantili,,0 - 250 Watt,,Yok,0-250 L,51 Dba - 60 Dba,,Yok,,Yok,,,,3+,Şarjlı / El,60 - 120 dk,https://www.trendyol.com//ximeijie/kumandali-robot-supurge-p-756040183?boutiqueId=61&merchantId=728400,2.379 TL
,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hf520/uv-isinli-dezenfekte-robotu-p-67158809?boutiqueId=61&merchantId=269605,1.399 TL
,4+ cm,,2 Yıl,,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,,,,https://www.trendyol.com//shark-online/rv2310ae-matrix-kendiliginden-bosalan-torbasiz-robot-supurge-p-782506545?boutiqueId=61&merchantId=896607,19.418 TL
,4+ cm,,3 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,,,60 - 120 dk,https://www.trendyol.com//ttech/ttec-2rs01-robi-promaster-akilli-robot-supurge-p-235651676?boutiqueId=61&merchantId=224449,11.899 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Lazer (LIDAR + SLAM),250-500 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//philips/homerun-halilari-algilar-ultra-yuksek-emis-gucu-3000-serisi-yeni-aqua-akilli-robot-supurge-p-785310300?boutiqueId=61&merchantId=881452,21.799 TL
,1 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Kamera (VSLAM + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//xiamen/xiaomi-mi-robot-vacuum-mop-robot-supurge-p-754690662?boutiqueId=61&merchantId=409995,12.499 TL
,4+ cm,,2 Yıl,İthalatçı Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/premium-7000-seris-islak-ve-kuru-robot-supurge-p-762674553?boutiqueId=61&merchantId=409995,26.599 TL
,3 cm,,2 Yıl,Resmi Distribütör Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/3000-serisi-islak-kuru-moplu-siyah-robot-supurge-4000-pa-sert-zemin-ve-haliya-uygun-p-754203856?boutiqueId=61&merchantId=409995,17.299 TL
,2 cm,,5 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,,Robot,120 dk ve üzeri,https://www.trendyol.com//umie/umie-ls5-vakumlu-2200pa-6400mah-yuksek-emisli-akilli-robot-supurge-paspas-p-105499989?boutiqueId=61&merchantId=825144,9.999 TL
,2 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Jiroskop (SLAM /ESLAM),1000-1500 L,31 Dba - 40 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//cecotec/robot-elektrikli-supurge-conga-999-p-767152848?boutiqueId=61&merchantId=262598,11.349 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,0 - 250 Watt,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/7000-serisi-islak-ve-kuru-istasyonlu-robot-supurge-otomatik-bosaltma-istasyonlu-5000-pa-wifili-p-765353543?boutiqueId=61&merchantId=109514,"38.118,79 TL"
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/islak-kuru-ve-moplu-5000pa-emis-gucu-ultra-sensor-donanimli-180dk-calisma-sureli-robot-supurge-p-785233321?boutiqueId=61&merchantId=825207,34.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/aqua-islak-kuru-ve-mop-ozellikli-ultra-emis-gucu-epa11-filtre-180dk-calisma-sureli-robot-supurge-p-785233250?boutiqueId=61&merchantId=825207,34.999 TL
,2 cm,,2 Yıl,Resmi Distribütör Garantili,,2401 Watt ve Üzeri,,Lazer (LIDAR + SLAM),250-500 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,120 dk ve üzeri,https://www.trendyol.com//philips/aqua-islak-kuru-ve-mop-ozellikli-5000-pa-ultra-emis-gucu-180dk-calisma-sureli-robot-supurge-p-785232434?boutiqueId=61&merchantId=825207,34.999 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-beyaz-p-778024697?boutiqueId=61&merchantId=409995,"21.999,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-beyaz-p-778024686?boutiqueId=61&merchantId=409995,"21.799,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-p-778023021?boutiqueId=61&merchantId=409995,"20.499,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-p-777945400?boutiqueId=61&merchantId=409995,"20.999,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-p-777945289?boutiqueId=61&merchantId=409995,"21.199,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-p-777944612?boutiqueId=61&merchantId=409995,"21.599,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-4000-watt-p-777944585?boutiqueId=61&merchantId=409995,"21.399,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,51 Dba - 60 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-3000-serisi-aqua-robot-supurge-siyah-4000-watt-p-777944409?boutiqueId=61&merchantId=409995,"21.799,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-siyah-65-db-p-777747388?boutiqueId=61&merchantId=409995,"32.399,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-siyah-p-777746941?boutiqueId=61&merchantId=409995,"33.799,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2001 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,3+,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-siyah-p-777746904?boutiqueId=61&merchantId=409995,"33.999,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2401 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-beyaz-p-777742400?boutiqueId=61&merchantId=409995,"33.199,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2401 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-beyaz-p-777742384?boutiqueId=61&merchantId=409995,"33.599,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2401 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-beyaz-p-777742145?boutiqueId=61&merchantId=409995,"33.999,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,2401 Watt ve Üzeri,,Jiroskop (SLAM /ESLAM),0-250 L,61 Dba - 70 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//philips/homerun-7000-serisi-aqua-robot-supurge-beyaz-p-777742067?boutiqueId=61&merchantId=409995,"33.799,99 TL"
,1 cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Lazer (LIDAR + SLAM),1500+ L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//philips/3000-robot-supurgeislak-kuru-moplu-istasyonlu-4000-pa-sert-zemin-ve-haliya-uygun-beyaz-p-773645327?boutiqueId=61&merchantId=409995,27.499 TL
,1 cm,,2 Yıl,Resmi Distribütör Garantili,,499-250 Watt,,Lazer (LIDAR + SLAM),1500+ L,71 Dba - 80 Dba,,Var,,Var,,,,3+,Robot,60 - 120 dk,https://www.trendyol.com//philips/3000-islak-kuru-moplu-istasyonlu-robot-supurge-4000-pa-sert-zemin-ve-haliya-uygun-beyaz-p-773621686?boutiqueId=61&merchantId=409995,24.522 TL
,3 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//grundig/robot-supurge-beyaz-li-on-p-772858770?boutiqueId=61&merchantId=409995,"9.299,99 TL"
,3 cm,,2 Yıl,İthalatçı Garantili,,1501 - 2000 Watt,,Lazer (LIDAR + SLAM),0-250 L,71 Dba - 80 Dba,,Var,,Var,,,,2,Robot,30 - 60 dk,https://www.trendyol.com//grundig/robot-supurge-beyaz-p-772858723?boutiqueId=61&merchantId=409995,"9.999,99 TL"
