Asilabilir_Engel_Seviyesi,Haritalandirma,Hazne_Kapasitesi,Uygulama_Uzerinden_Kontrol,Yer_Silme_Ozelligi,Calisma_Modu_Sayisi,Ozellik,Sarjli_Kullanim_Suresi,url,price
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//dreame/bot-d10-plus-akilli-robot-supurge-p-349171744?boutiqueId=61&merchantId=104871,11349.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//samsung/vr3mb77312k-tr-akilli-robot-supurge-abanoz-siyahi-p-696943025?boutiqueId=61&merchantId=106248,9249.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//philips/3000-serisi-islak-kuru-moplu-siyah-robot-supurge-4000-pa-sert-zemin-ve-haliya-uygun-p-704503109?boutiqueId=61&merchantId=514600,11999.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//lydsto/g1-akilli-robot-supurge-ve-paspas-5-lt-airfryer-hediyeli-p-778375249?boutiqueId=61&merchantId=217399,6999.0
1 ,Lazer ,0-250,Var,Var,3,Robot,120,https://www.trendyol.com//dreame/robot-supurge-bot-d9-max-dd9mbtx-uyumlu-p-205138417?boutiqueId=61&merchantId=514600,8899.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//grundig/vcr-6230-robot-supurge-p-456637941?boutiqueId=61&merchantId=727277,7920.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//arcelik/imperium-robo-rs-3221-robot-supurge-p-472915389?boutiqueId=61&merchantId=329523,7799.0
2 ,Lazer ,0-250,Var,Var,3,Robot,120,https://www.trendyol.com//roborock/s8-plus-robot-beyaz-supurge-p-752645244?boutiqueId=61&merchantId=106895,28519.0
2 ,Lazer ,0-250,Var,Var,2,Robot,120,https://www.trendyol.com//roborock/s7-max-ultra-p-761305675?boutiqueId=61&merchantId=413566,37805.0
2 ,Lazer ,500-1000,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//homend/alex-laser-1281h-moplu-ve-haritalamali-akilli-robot-supurge-2023-model-beyaz-p-148999728?boutiqueId=61&merchantId=727277,7720.0
2 ,Lazer ,0-250,Var,Var,3,Robot,60 - 120,https://www.trendyol.com//tefal/rg8577-x-plorer-serie-75-s-mop-ozellikli-akilli-robot-supurge-beyaz-p-654266299?boutiqueId=61&merchantId=661093,10425.0
4+ ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//dreame/bot-l10s-pro-robot-supurge-p-639417973?boutiqueId=61&merchantId=593584,12899.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//philips/3000-serisi-islak-kuru-moplu-siyah-istasyonlu-robot-supurge-4000-pa-sert-zemin-ve-haliya-uygun-p-704500817?boutiqueId=61&merchantId=521664,16999.0
2,Lazer,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//xiaomi/mi-robot-vacuum-mop-pro-cleaner-robot-supurge-ve-paspas-beyaz-p-36502435?boutiqueId=61&merchantId=601117,13999.0
2 ,Lazer ,250-500,Var,Var,3,Robot,120,https://www.trendyol.com//yui/s7-plus-akilli-cop-istasyonlu-robot-vacuum-mop-supurge-beyaz-yui-turkiye-garantili-p-645340208?boutiqueId=620489&merchantId=968,11799.0
